alcohol_*C1_electrostatic_charge,alcohol_*C1_exposed_area,alcohol_electronegativity,alcohol_primary,alcohol_secondary,alcohol_tertiary,alcohol_cyclic ,alcohol_4-membered_ring,alcohol_5-membered_ring,alcohol_6-membered_ring,alcohol_7-membered_ring,alcohol_benzylic,alcohol_allylic,alcohol_homobenzylic,alcohol_homoallylic,alcohol_alpha-carbonyl,alcohol_beta_carbonyl,alcohol_hemiacetal,alcohol_alpha amino,base_*N1_exposed_area,sulfonyl_fluoride_*S1_electrostatic_charge,sulfonyl_fluoride_*F1_electrostatic_charge,sulfonyl_fluoride_*O1_electrostatic_charge,yield
0.474,6.211,0.11,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.305,0.926,-0.162,-0.384,65
0.808,0.994,0.12,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,7.397,0.973,-0.21,-0.439,0
0.808,0.994,0.12,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,7.397,0.849,-0.198,-0.401,4
0.808,0.994,0.12,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,7.397,0.978,-0.208,-0.436,2
0.808,0.994,0.12,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,7.397,0.973,-0.204,-0.43,4
0.808,0.994,0.12,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,7.397,0.926,-0.162,-0.384,9
0.808,0.994,0.12,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,6.069,0.973,-0.21,-0.439,1
0.808,0.994,0.12,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,6.069,0.849,-0.198,-0.401,5
0.808,0.994,0.12,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,6.069,0.978,-0.208,-0.436,4
0.808,0.994,0.12,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,6.069,0.973,-0.204,-0.43,5
0.808,0.994,0.12,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,6.069,0.926,-0.162,-0.384,18
0.808,0.994,0.12,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4.727,0.973,-0.21,-0.439,0
0.808,0.994,0.12,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4.727,0.849,-0.198,-0.401,0
0.808,0.994,0.12,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4.727,0.978,-0.208,-0.436,0
0.808,0.994,0.12,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4.727,0.973,-0.204,-0.43,1
0.808,0.994,0.12,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4.727,0.926,-0.162,-0.384,17
0.808,0.994,0.12,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,5.305,0.973,-0.21,-0.439,0
0.808,0.994,0.12,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,5.305,0.849,-0.198,-0.401,0
0.808,0.994,0.12,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,5.305,0.978,-0.208,-0.436,1
0.808,0.994,0.12,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,5.305,0.973,-0.204,-0.43,0
0.808,0.994,0.12,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,5.305,0.926,-0.162,-0.384,22
0.034,13.748,0.12,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.397,0.973,-0.21,-0.439,53
0.034,13.748,0.12,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.397,0.849,-0.198,-0.401,63
0.034,13.748,0.12,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.397,0.978,-0.208,-0.436,63
0.034,13.748,0.12,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.397,0.973,-0.204,-0.43,65
0.034,13.748,0.12,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.397,0.926,-0.162,-0.384,60
0.034,13.748,0.12,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.069,0.973,-0.21,-0.439,88
0.034,13.748,0.12,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.069,0.849,-0.198,-0.401,84
0.034,13.748,0.12,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.069,0.978,-0.208,-0.436,98
0.034,13.748,0.12,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.069,0.973,-0.204,-0.43,89
0.034,13.748,0.12,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.069,0.926,-0.162,-0.384,82
0.034,13.748,0.12,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.727,0.973,-0.21,-0.439,94
0.034,13.748,0.12,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.727,0.849,-0.198,-0.401,91
0.034,13.748,0.12,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.727,0.978,-0.208,-0.436,106
0.034,13.748,0.12,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.727,0.973,-0.204,-0.43,101
0.034,13.748,0.12,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.727,0.926,-0.162,-0.384,91
0.034,13.748,0.12,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.305,0.973,-0.21,-0.439,94
0.034,13.748,0.12,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.305,0.849,-0.198,-0.401,98
0.034,13.748,0.12,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.305,0.978,-0.208,-0.436,104
0.034,13.748,0.12,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.305,0.973,-0.204,-0.43,95
0.034,13.748,0.12,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.305,0.926,-0.162,-0.384,94
0.484,6.218,0.12,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.397,0.973,-0.21,-0.439,53
0.484,6.218,0.12,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.397,0.849,-0.198,-0.401,68
0.484,6.218,0.12,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.397,0.978,-0.208,-0.436,71
0.484,6.218,0.12,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.397,0.973,-0.204,-0.43,74
0.484,6.218,0.12,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.397,0.926,-0.162,-0.384,54
0.484,6.218,0.12,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.069,0.973,-0.21,-0.439,52
0.484,6.218,0.12,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.069,0.849,-0.198,-0.401,68
0.484,6.218,0.12,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.069,0.978,-0.208,-0.436,72
0.484,6.218,0.12,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.069,0.973,-0.204,-0.43,66
0.484,6.218,0.12,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.069,0.926,-0.162,-0.384,53
0.484,6.218,0.12,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.727,0.973,-0.21,-0.439,49
0.484,6.218,0.12,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.727,0.849,-0.198,-0.401,69
0.484,6.218,0.12,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.727,0.978,-0.208,-0.436,80
0.484,6.218,0.12,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.727,0.973,-0.204,-0.43,82
0.484,6.218,0.12,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.727,0.926,-0.162,-0.384,76
0.484,6.218,0.12,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.305,0.973,-0.21,-0.439,48
0.484,6.218,0.12,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.305,0.849,-0.198,-0.401,67
0.484,6.218,0.12,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.305,0.978,-0.208,-0.436,78
0.484,6.218,0.12,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.305,0.973,-0.204,-0.43,66
0.484,6.218,0.12,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.305,0.926,-0.162,-0.384,72
0,13.545,0.15,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.397,0.973,-0.21,-0.439,6
0,13.545,0.15,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.397,0.849,-0.198,-0.401,13
0,13.545,0.15,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.397,0.978,-0.208,-0.436,14
0,13.545,0.15,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.397,0.973,-0.204,-0.43,17
0,13.545,0.15,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.397,0.926,-0.162,-0.384,29
0,13.545,0.15,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.069,0.973,-0.21,-0.439,17
0,13.545,0.15,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.069,0.849,-0.198,-0.401,26
0,13.545,0.15,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.069,0.978,-0.208,-0.436,30
0,13.545,0.15,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.069,0.973,-0.204,-0.43,36
0,13.545,0.15,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.069,0.926,-0.162,-0.384,38
0,13.545,0.15,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.727,0.973,-0.21,-0.439,21
0,13.545,0.15,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.727,0.849,-0.198,-0.401,31
0,13.545,0.15,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.727,0.978,-0.208,-0.436,34
0,13.545,0.15,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.727,0.973,-0.204,-0.43,40
0,13.545,0.15,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.727,0.926,-0.162,-0.384,49
0,13.545,0.15,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.305,0.973,-0.21,-0.439,32
0,13.545,0.15,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.305,0.849,-0.198,-0.401,38
0,13.545,0.15,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.305,0.978,-0.208,-0.436,45
0,13.545,0.15,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.305,0.973,-0.204,-0.43,49
0,13.545,0.15,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.305,0.926,-0.162,-0.384,47
-0.044,12.357,0.15,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,7.397,0.973,-0.21,-0.439,43
-0.044,12.357,0.15,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,7.397,0.849,-0.198,-0.401,54
-0.044,12.357,0.15,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,7.397,0.978,-0.208,-0.436,54
-0.044,12.357,0.15,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,7.397,0.973,-0.204,-0.43,58
-0.044,12.357,0.15,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,7.397,0.926,-0.162,-0.384,52
-0.044,12.357,0.15,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,6.069,0.973,-0.21,-0.439,72
-0.044,12.357,0.15,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,6.069,0.849,-0.198,-0.401,74
-0.044,12.357,0.15,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,6.069,0.978,-0.208,-0.436,80
-0.044,12.357,0.15,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,6.069,0.973,-0.204,-0.43,77
-0.044,12.357,0.15,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,6.069,0.926,-0.162,-0.384,65
-0.044,12.357,0.15,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4.727,0.973,-0.21,-0.439,73
-0.044,12.357,0.15,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4.727,0.849,-0.198,-0.401,76
-0.044,12.357,0.15,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4.727,0.978,-0.208,-0.436,80
-0.044,12.357,0.15,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4.727,0.973,-0.204,-0.43,77
-0.044,12.357,0.15,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4.727,0.926,-0.162,-0.384,56
-0.044,12.357,0.15,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5.305,0.973,-0.21,-0.439,66
-0.044,12.357,0.15,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5.305,0.849,-0.198,-0.401,75
-0.044,12.357,0.15,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5.305,0.978,-0.208,-0.436,67
-0.044,12.357,0.15,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5.305,0.973,-0.204,-0.43,73
-0.044,12.357,0.15,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5.305,0.926,-0.162,-0.384,46
-0.043,12.177,0.11,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,7.397,0.973,-0.21,-0.439,6
-0.043,12.177,0.11,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,7.397,0.849,-0.198,-0.401,7
-0.043,12.177,0.11,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,7.397,0.978,-0.208,-0.436,8
-0.043,12.177,0.11,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,7.397,0.973,-0.204,-0.43,8
-0.043,12.177,0.11,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,7.397,0.926,-0.162,-0.384,10
-0.043,12.177,0.11,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,6.069,0.973,-0.21,-0.439,21
-0.043,12.177,0.11,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,6.069,0.849,-0.198,-0.401,18
-0.043,12.177,0.11,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,6.069,0.978,-0.208,-0.436,22
-0.043,12.177,0.11,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,6.069,0.973,-0.204,-0.43,20
-0.043,12.177,0.11,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,6.069,0.926,-0.162,-0.384,23
-0.043,12.177,0.11,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4.727,0.973,-0.21,-0.439,26
-0.043,12.177,0.11,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4.727,0.849,-0.198,-0.401,17
-0.043,12.177,0.11,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4.727,0.978,-0.208,-0.436,28
-0.043,12.177,0.11,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4.727,0.973,-0.204,-0.43,27
-0.043,12.177,0.11,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4.727,0.926,-0.162,-0.384,30
-0.043,12.177,0.11,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5.305,0.973,-0.21,-0.439,27
-0.043,12.177,0.11,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5.305,0.849,-0.198,-0.401,16
-0.043,12.177,0.11,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5.305,0.978,-0.208,-0.436,31
-0.043,12.177,0.11,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5.305,0.973,-0.204,-0.43,28
-0.043,12.177,0.11,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5.305,0.926,-0.162,-0.384,36
0.425,8.427,0.12,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,7.397,0.973,-0.21,-0.439,1
0.425,8.427,0.12,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,7.397,0.849,-0.198,-0.401,1
0.425,8.427,0.12,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,7.397,0.978,-0.208,-0.436,3
0.425,8.427,0.12,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,7.397,0.973,-0.204,-0.43,11
0.425,8.427,0.12,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,7.397,0.926,-0.162,-0.384,83
0.425,8.427,0.12,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,6.069,0.973,-0.21,-0.439,1
0.425,8.427,0.12,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,6.069,0.849,-0.198,-0.401,2
0.425,8.427,0.12,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,6.069,0.978,-0.208,-0.436,4
0.425,8.427,0.12,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,6.069,0.973,-0.204,-0.43,12
0.425,8.427,0.12,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,6.069,0.926,-0.162,-0.384,79
0.425,8.427,0.12,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,4.727,0.973,-0.21,-0.439,1
0.425,8.427,0.12,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,4.727,0.849,-0.198,-0.401,1
0.425,8.427,0.12,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,4.727,0.978,-0.208,-0.436,5
0.425,8.427,0.12,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,4.727,0.973,-0.204,-0.43,12
0.425,8.427,0.12,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,4.727,0.926,-0.162,-0.384,89
0.425,8.427,0.12,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,5.305,0.973,-0.21,-0.439,3
0.425,8.427,0.12,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,5.305,0.849,-0.198,-0.401,1
0.425,8.427,0.12,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,5.305,0.978,-0.208,-0.436,12
0.425,8.427,0.12,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,5.305,0.973,-0.204,-0.43,22
0.425,8.427,0.12,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,5.305,0.926,-0.162,-0.384,82
0.332,6.896,0.11,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,7.397,0.973,-0.21,-0.439,23
0.332,6.896,0.11,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,7.397,0.849,-0.198,-0.401,40
0.332,6.896,0.11,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,7.397,0.978,-0.208,-0.436,47
0.332,6.896,0.11,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,7.397,0.973,-0.204,-0.43,55
0.332,6.896,0.11,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,7.397,0.926,-0.162,-0.384,76
0.332,6.896,0.11,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,6.069,0.973,-0.21,-0.439,34
0.332,6.896,0.11,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,6.069,0.849,-0.198,-0.401,41
0.332,6.896,0.11,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,6.069,0.978,-0.208,-0.436,60
0.332,6.896,0.11,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,6.069,0.973,-0.204,-0.43,65
0.332,6.896,0.11,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,6.069,0.926,-0.162,-0.384,88
0.332,6.896,0.11,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,4.727,0.973,-0.21,-0.439,30
0.332,6.896,0.11,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,4.727,0.849,-0.198,-0.401,39
0.332,6.896,0.11,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,4.727,0.978,-0.208,-0.436,47
0.332,6.896,0.11,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,4.727,0.973,-0.204,-0.43,55
0.332,6.896,0.11,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,4.727,0.926,-0.162,-0.384,79
0.332,6.896,0.11,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,5.305,0.973,-0.21,-0.439,46
0.332,6.896,0.11,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,5.305,0.849,-0.198,-0.401,49
0.332,6.896,0.11,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,5.305,0.978,-0.208,-0.436,58
0.332,6.896,0.11,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,5.305,0.973,-0.204,-0.43,56
0.332,6.896,0.11,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,5.305,0.926,-0.162,-0.384,82
0.369,7.621,0.12,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,7.397,0.973,-0.21,-0.439,25
0.369,7.621,0.12,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,7.397,0.849,-0.198,-0.401,45
0.369,7.621,0.12,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,7.397,0.978,-0.208,-0.436,41
0.369,7.621,0.12,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,7.397,0.973,-0.204,-0.43,48
0.369,7.621,0.12,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,7.397,0.926,-0.162,-0.384,59
0.369,7.621,0.12,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,6.069,0.973,-0.21,-0.439,30
0.369,7.621,0.12,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,6.069,0.849,-0.198,-0.401,40
0.369,7.621,0.12,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,6.069,0.978,-0.208,-0.436,47
